ID,income,firstDate,lastDate,amount,freqSales,saleSizeCode,starCustomer,lastSale,avrSale,class
181,7,9103,9505,0.1,2,G,0,25,31.66,0
182,1,9510,9602,0.17,3,E,0,10,6.66,0
183,2,8609,9512,0.65,4,E,X,12,7.75,0
184,3,9201,9512,0.2,3,E,X,12,6.7,0
185,5,9501,9601,0.13,1,F,0,20,12.33,0
186,0,8810,9509,0.17,1,F,X,20,11.08,0
187,0,9112,9603,0.25,4,E,X,8,6.92,0
188,1,8608,9506,0.27,1,E,X,12,5.45,0
189,0,9412,9511,0.12,2,F,0,20,16.66,0
190,1,8909,9604,0.14,1,F,X,0,8.07,0
191,7,8809,9508,0.2,1,E,X,14,8.07,0
192,0,9402,9603,0.36,4,D,X,3,4.25,0
193,3,9501,9507,0.07,1,G,0,25,22.5,0
194,2,9407,9601,0.22,4,D,X,5,6,0
195,4,8704,9512,0.22,2,E,X,10,9.25,0
196,3,9501,9510,0.09,1,F,0,20,17.5,0
197,0,9301,9601,0.1,1,G,0,25,11.75,0
198,0,9602,9602,0.06,1,F,0,20,20,0
199,0,8610,9510,0.23,1,F,X,19,9,0
200,0,9201,9601,0.25,3,E,X,10,5.27,0
201,4,8702,9512,0.23,2,F,X,14,8.94,0
202,2,9111,9512,0.29,1,F,0,15,7.4,0
203,1,8910,9603,0.14,3,E,0,10,6,0
204,0,8902,9601,0.13,1,G,0,35,31.66,0
205,0,9103,9512,0.25,1,G,0,50,21.42,0
206,7,8909,9509,0.12,1,G,0,25,19.3,0
207,0,9203,9602,0.25,4,F,X,13,9.21,0
208,5,9302,9603,0.18,3,F,X,10,11.62,0
209,5,8701,9504,0.12,1,F,0,16,10.85,0
210,2,8910,9603,0.19,3,E,0,10,9.2,0
211,0,9004,9601,0.23,3,D,X,7,5,0
212,0,8701,9505,0.22,1,G,X,25,12.29,0
213,6,8809,9512,0.15,1,G,0,25,17.08,0
214,4,8909,9509,0.3,3,D,X,9,5,0
215,2,9401,9603,0.15,2,F,0,15,10.6,0
216,0,9312,9510,0.11,1,G,0,25,18.75,0
217,5,8702,9505,0.23,1,F,X,15,9.52,1
218,3,8701,9511,0.42,1,E,X,11,6,0
219,2,8612,9512,0.22,1,F,X,20,10.5,0
220,6,8608,9508,0.23,1,E,X,10,5.64,0
221,5,9601,9601,0.07,1,F,0,20,20,0
222,0,9510,9603,0.11,2,F,0,15,14,0
223,3,9309,9602,0.37,4,D,X,6,5.62,0
224,3,9506,9512,0.12,3,G,0,15,21.66,0
225,6,9304,9603,0.13,1,G,X,25,24.16,0
226,3,9210,9507,0.36,4,D,X,3,3.68,0
227,6,9002,9604,0.14,2,G,X,25,18.53,0
228,2,9411,9511,0.12,2,G,0,12,15.66,0
229,5,9409,9512,0.08,1,F,0,15,12.5,0
230,0,9202,9511,0.22,2,E,X,12,7.83,0
231,5,9511,9511,0.08,1,F,0,20,20,0
232,2,9602,9602,0.07,1,F,0,15,15,0
233,0,9510,9510,0.06,1,F,0,23,23,0
234,0,9406,9504,0.12,1,G,0,25,17.5,0
235,2,9412,9512,0.09,1,G,0,25,22.5,0
236,0,9401,9602,0.14,3,E,0,6,8.8,0
237,5,9202,9512,0.12,1,G,0,50,21.71,0
238,3,8909,9512,0.11,1,G,0,50,23.28,0
239,7,9310,9601,0.17,3,F,X,15,11.33,0
240,0,9103,9510,0.11,2,F,0,20,12.5,0
241,1,8812,9507,0.09,1,F,0,20,11.16,0
242,5,9009,9510,0.23,2,E,X,6,6.92,0
243,3,9601,9601,0.07,1,F,0,20,20,0
244,6,9502,9511,0.23,2,F,0,15,9,0
245,2,9602,9603,0.14,2,F,0,6,13,0
246,6,8702,9510,0.19,2,G,X,25,17.73,0
247,4,9509,9509,0.06,1,F,0,20,20,0
248,2,9107,9509,0.15,2,G,0,23,18.44,0
249,4,9501,9602,0.32,4,D,X,4,4.44,0
250,3,9109,9602,0.12,1,G,0,25,12.5,0
251,7,8702,9512,0.13,1,G,X,25,12.7,0
252,6,9409,9509,0.07,1,F,0,20,15,0
253,0,9401,9601,0.14,3,F,0,16,10.6,0
254,1,8809,9601,0.13,1,F,0,15,10.33,0
255,2,9601,9603,0.14,2,F,0,6,10.5,0
256,3,8707,9512,0.14,1,F,X,15,9.44,0
257,4,9202,9602,0.15,3,E,0,10,8,0
258,7,9210,9511,0.11,1,F,0,20,12.8,0
259,0,8609,9507,0.23,1,G,X,25,19.1,0
260,2,9402,9602,0.12,1,F,0,15,9.25,0
261,1,9506,9511,0.11,2,F,0,5,12.5,0
262,4,8802,9512,0.13,2,G,X,50,18.9,0
263,6,8704,9601,0.17,3,F,X,20,12.91,0
264,0,9502,9603,0.14,3,E,X,10,10,0
265,1,9401,9603,0.18,3,E,X,14,11.33,0
266,7,8803,9602,0.37,3,D,X,9,5.96,0
267,1,9310,9504,0.17,1,F,X,20,6.66,0
268,5,8611,9602,0.46,4,E,X,12,11.23,0
269,3,9310,9512,0.08,1,F,0,20,11.33,0
270,5,8905,9602,0.15,1,F,X,18,12.61,0
271,2,9410,9511,0.14,2,G,0,35,15.75,0
272,0,9410,9512,0.16,3,F,0,20,14.4,0
273,1,8703,9601,0.28,1,G,X,30,7.66,0
274,0,8610,9511,0.44,4,D,X,4,3.38,0
275,5,9212,9509,0.15,1,F,0,18,10.66,0
276,2,8807,9601,0.24,4,D,0,7,6.46,0
277,1,9102,9603,0.21,4,F,0,10,9.12,0
278,6,9510,9602,0.11,2,F,0,15,12.5,0
279,0,9510,9510,0.06,1,F,0,20,20,0
280,5,8910,9507,0.22,2,E,0,11,8.25,0
281,1,9601,9601,0.07,1,F,0,23,23,0
282,2,8609,9504,0.17,1,E,X,14,9.07,0
283,7,9301,9601,0.14,3,E,X,6,6.5,0
284,2,9511,9511,0.07,1,F,0,20,20,0
285,4,9309,9603,0.2,3,E,0,10,8,0
286,2,9409,9510,0.08,1,F,0,20,15,0
287,7,9203,9603,0.15,1,F,0,15,10.36,0
288,2,8809,9508,0.12,1,F,0,17,13.5,0
289,7,9103,9508,0.2,4,G,0,19,15.72,0
290,3,9202,9508,0.1,2,F,0,15,14.6,0
291,1,8809,9508,0.13,2,F,0,15,10.25,0
292,4,9309,9512,0.15,1,G,0,32,16.33,0
293,2,8805,9506,0.28,1,E,X,10,6.93,0
294,2,8612,9506,0.31,1,G,X,35,23.87,0
295,0,9001,9702,0.43,4,F,X,20,16.03,0
296,3,9209,9512,0.19,2,F,X,12,10.22,0
297,6,9403,9512,0.14,2,F,X,15,11.8,0
298,5,9204,9508,0.09,1,F,0,20,10.66,0
299,2,9506,9601,0.27,4,D,X,5,6,0
300,3,8612,9510,0.17,2,F,X,15,9.84,0
301,5,8608,9509,0.18,1,E,X,10,7.23,0
302,7,9511,9511,0.06,1,F,0,15,15,0
303,0,9502,9601,0.2,4,E,X,5,6,0
304,3,8712,9506,0.28,2,E,X,10,8.9,0
305,3,9002,9512,0.2,3,D,X,9,7.23,1
306,1,9506,9512,0.13,3,F,0,15,15.66,0
307,5,9310,9601,0.22,4,E,X,10,6.66,0
308,6,9108,9512,0.2,1,G,X,30,12.54,0
309,3,9501,9510,0.08,1,F,0,20,12.5,0
310,4,8801,9603,0.12,1,G,X,30,47.77,0
311,7,9411,9511,0.08,1,G,0,25,25,0
312,0,8801,9511,0.39,2,E,X,7,7.02,0
313,0,9309,9505,0.1,1,F,0,20,16.25,0
314,6,8801,9602,0.13,3,E,X,10,6.88,0
315,1,8809,9701,0.18,2,F,0,10,8.55,0
316,5,9302,9506,0.09,1,F,0,15,15.5,0
317,3,9002,9601,0.19,3,F,X,18,13.75,1
318,1,9310,9504,0.16,1,F,X,15,11.66,0
319,1,8902,9507,0.08,1,F,0,21,12.2,0
320,5,9509,9601,0.1,2,F,0,20,12.5,0
321,3,9602,9602,0.07,1,F,0,20,20,0
322,5,9602,9602,0.07,1,G,0,28,28,0
323,1,8705,9602,0.32,3,G,0,25,18.05,0
324,0,9211,9602,0.24,3,F,X,15,15.83,1
325,0,9209,9512,0.23,1,E,X,10,9,0
326,4,9502,9507,0.09,1,F,0,18,15.5,0
327,3,9309,9512,0.2,3,E,X,12,9.18,0
328,2,9012,9512,0.18,2,E,X,11,9.08,0
329,2,9010,9511,0.17,2,F,0,15,10.2,0
330,5,9003,9512,0.2,3,E,X,5,7.25,0
331,0,9302,9504,0.08,1,G,0,25,21.66,0
332,5,9010,9603,0.12,1,G,0,30,20.83,0
333,0,9104,9511,0.09,1,F,0,20,15,0
334,5,9203,9512,0.12,2,F,0,20,14.2,0
335,2,9011,9601,0.45,4,D,X,5,3.6,0
336,4,9602,9602,0.07,1,G,0,25,25,0
337,1,9501,9512,0.09,1,F,0,20,17.5,0
338,7,9309,9506,0.15,1,F,X,15,9,0
339,2,9401,9601,0.29,4,D,X,6,5.6,0
340,4,9603,9603,0.1,1,F,0,20,20,0
341,2,9210,9602,0.1,1,F,0,10,8.85,0
342,1,9403,9601,0.19,3,F,X,10,10,1
343,1,9101,9602,0.18,3,F,X,15,15.27,0
344,3,8609,9603,0.25,2,E,X,11,6.66,0
345,0,9302,9602,0.12,2,F,0,15,11.2,0
346,6,9302,9512,0.11,2,G,0,40,19,0
347,6,9509,9601,0.13,3,G,0,12,18.33,0
348,2,9009,9506,0.2,1,F,0,16,10.55,0
349,6,9602,9602,0.07,1,F,0,20,20,0
350,5,9412,9506,0.13,2,F,0,15,15,0
351,7,9310,9601,0.25,3,E,X,6,7.1,0
352,7,8909,9511,0.09,2,G,0,35,32.5,0
353,7,9506,9506,0.06,1,F,0,20,20,0
354,0,9601,9601,0.07,1,G,0,28,28,0
355,5,9009,9503,0.1,1,G,0,25,23,0
356,4,8702,9512,0.18,2,E,X,6,9.25,0
357,5,9511,9511,0.08,1,F,0,15,15,0
358,2,9301,9601,0.15,2,F,0,15,12.28,0
359,0,9505,9602,0.15,3,E,0,10,7.33,0
360,0,9301,9512,0.38,4,E,X,10,7.14,0
361,1,9602,9602,0.07,1,F,0,20,20,0
362,0,8701,9601,0.18,2,G,X,50,15.86,0
363,4,9310,9510,0.2,3,E,0,9,7,0
364,7,9602,9602,0.07,1,G,0,50,50,0
365,6,9510,9510,0.06,1,G,0,25,25,0
366,1,9002,9512,0.25,4,D,X,5,5.6,0
367,0,9311,9504,0.18,1,F,X,20,17.14,0
368,3,8609,9604,0.33,4,D,X,5,5.02,0
369,4,9401,9512,0.14,3,G,0,25,17.6,0
370,4,8803,9601,0.33,3,D,X,7,6,0
371,2,9511,9511,0.08,1,G,0,25,25,0
372,3,9109,9511,0.1,1,G,0,25,11.8,0
373,1,8701,9601,0.3,2,E,X,10,4.88,0
374,2,9002,9602,0.22,2,E,X,5,7.71,0
375,0,9502,9512,0.09,1,F,0,15,12.5,0
376,0,9003,9701,0.13,1,G,X,30,24.44,0
377,7,8608,9602,0.33,2,F,X,15,6.96,0
378,5,9006,9505,0.1,1,G,0,40,30.83,0
379,0,9507,9603,0.1,2,F,0,20,15,0
380,0,8909,9512,0.22,2,F,X,20,16.45,0
381,7,8801,9601,0.19,3,E,X,12,9.15,0
382,7,8707,9602,0.12,2,F,0,20,15.5,0
383,5,9103,9603,0.17,2,F,X,20,8.77,0
384,3,8801,9512,0.15,1,F,X,15,8.6,0
385,5,9201,9512,0.1,1,F,0,20,15,0
386,5,9603,9603,0.1,1,F,0,20,20,0
387,1,9101,9512,0.21,1,F,0,17,11.23,0
388,7,9409,9504,0.08,1,F,0,20,12.5,0
389,4,9001,9512,0.31,2,F,0,20,17.71,0
390,7,8610,9602,0.14,1,G,X,30,14.81,0
391,2,8804,9504,0.15,1,F,0,18,11.72,1
392,1,9008,9609,0.18,4,F,X,20,16.62,0
393,6,9501,9511,0.09,1,F,0,22,16,0
394,1,9002,9601,0.26,2,F,X,20,10.3,0
395,1,8801,9511,0.3,1,F,X,7,7.28,0
396,0,9501,9504,0.09,1,F,0,20,16.5,0
397,4,9602,9602,0.07,1,F,0,20,20,0
398,0,8610,9601,0.24,3,E,X,7,5.16,0
399,5,9401,9512,0.16,3,E,0,10,8,0
400,0,9502,9511,0.1,1,F,0,20,12.5,0
401,3,9402,9512,0.08,1,G,0,25,25,0
402,0,9603,9605,0.07,1,G,0,0,50,0
403,2,8901,9512,0.42,2,E,X,14,13.5,0
404,6,9301,9511,0.18,2,G,0,25,17.12,0
405,2,8702,9601,0.2,2,E,X,5,8.61,0
406,0,9402,9601,0.23,1,G,0,25,20,0
407,5,8705,9603,0.2,2,E,X,10,8,0
408,2,9409,9509,0.1,2,G,0,12,15.66,0
409,4,9310,9601,0.33,4,E,X,11,8.5,0
410,3,8608,9701,0.5,2,E,X,5,6.09,0
411,7,9111,9506,0.11,1,F,X,18,16.5,0
412,4,9506,9506,0.06,1,F,0,15,15,0
413,0,9010,9601,0.18,4,F,X,20,13,0
414,2,8610,9603,0.35,4,F,X,15,8.55,0
415,5,8810,9512,0.33,4,D,X,3,4.28,0
416,2,8902,9602,0.2,2,F,X,16,7.66,1
417,2,9410,9601,0.11,2,G,0,10,15,0
418,1,9301,9601,0.21,3,E,X,10,5.25,1
419,0,9509,9509,0.05,1,G,0,50,50,0
420,0,9510,9510,0.07,1,F,0,20,20,0
421,5,9510,9510,0.06,1,G,0,25,25,0
422,0,8905,9512,0.17,1,F,X,22,7.5,0
423,3,9201,9604,0.12,1,G,0,25,13.57,0
424,0,9309,9512,0.5,3,E,X,10,8.55,0
425,4,9502,9602,0.13,2,F,X,15,11.66,0
426,0,8801,9509,0.24,1,F,X,17,11.94,0
427,0,8910,9512,0.15,1,F,0,15,14.6,0
428,0,9404,9507,0.09,1,G,0,25,13.66,0
429,0,9103,9509,0.16,1,F,0,15,9.5,0
430,2,9509,9602,0.15,3,E,0,14,10,0
431,6,9412,9601,0.09,1,F,0,17,16,0
432,2,9310,9603,0.27,4,D,X,6,5.54,0
433,5,9409,9511,0.13,2,F,0,13,13.25,0
434,6,9001,9509,0.07,1,G,0,30,18.5,0
435,4,9502,9512,0.13,2,F,0,16,10.66,0
436,0,9601,9601,0.08,1,F,0,20,20,0
437,5,9506,9506,0.06,1,F,0,15,15,0
438,5,9501,9602,0.08,1,F,0,16,13,0
439,2,8703,9602,0.25,2,E,X,10,5.68,0
440,5,9201,9601,0.1,1,G,X,25,12,0
441,1,9601,9612,0.1,1,F,0,10,16.66,0
442,6,8702,9509,0.34,1,G,X,50,27.91,0
443,7,9005,9504,0.16,1,F,X,20,10,0
444,5,8811,9507,0.17,2,E,X,10,10.09,0
445,1,8803,9512,0.3,3,F,X,10,11.26,0
446,5,8809,9506,0.4,2,G,X,25,12.18,0
447,0,9501,9511,0.12,2,F,0,20,10.66,0
448,1,8608,9602,0.4,3,D,X,5,5.38,0
449,7,9104,9506,0.07,1,F,0,15,15.66,0
450,4,8612,9504,0.43,1,E,X,10,5.9,0
451,1,9112,9602,0.32,3,D,X,7,6.83,0
452,4,9310,9507,0.11,1,F,0,16,9.66,0
453,6,9601,9601,0.08,1,F,0,20,20,0
454,4,8809,9701,0.17,2,E,0,10,12.83,0
455,2,9502,9512,0.09,1,F,0,15,10,0
456,5,8809,9611,0.17,3,F,X,11,16.29,0
457,6,9005,9511,0.24,3,G,X,15,18.66,0
458,5,9004,9601,0.14,2,G,0,25,15.42,0
459,4,8610,9510,0.3,1,F,X,17,9.22,0
460,3,8710,9508,0.2,1,E,X,10,11.07,0
461,4,9602,9602,0.07,1,G,0,25,25,0
462,4,9110,9509,0.38,4,D,X,8,6.28,0
463,6,9203,9512,0.1,1,F,0,15,18.66,0
464,0,9001,9506,0.18,1,F,X,21,12.45,0
465,0,9009,9601,0.51,4,D,X,4,4.11,0
466,5,9210,9601,0.22,4,E,X,12,8.9,0
467,2,9103,9603,0.23,2,E,X,10,5.83,0
468,6,9012,9602,0.1,1,G,0,42,11.3,0
469,0,8811,9506,0.09,1,G,X,25,31.85,0
470,0,9401,9601,0.11,1,G,X,25,21,0
471,2,9512,9512,0.07,1,G,0,50,50,0
472,5,9201,9510,0.13,1,F,X,15,8.66,0
473,6,9310,9603,0.13,2,F,X,17,13.8,0
474,1,9411,9511,0.12,2,F,0,20,13.33,0
475,4,9201,9602,0.16,4,F,0,14,12.62,0
476,0,9501,9702,0.22,3,E,0,0,7.22,0
477,4,9002,9508,0.24,2,E,X,10,8.85,0
478,1,8609,9506,0.14,1,F,0,15,8.12,0
479,4,8812,9603,0.28,3,D,X,5,3.31,0
480,0,9204,9511,0.28,3,E,X,4,7.53,0
481,6,9309,9601,0.18,2,F,X,20,7.42,0
482,2,9503,9512,0.2,4,E,X,5,6,0
483,4,9401,9512,0.14,3,F,0,12,11.8,0
484,5,8906,9512,0.12,1,G,0,40,19.62,0
485,0,9202,9603,0.22,4,E,X,14,12.33,0
486,2,9301,9512,0.18,3,E,X,8,6.75,1
487,2,9501,9612,0.27,4,E,X,6,6.93,1
488,0,8812,9511,0.26,4,E,0,10,9.66,0
489,3,8703,9507,0.17,1,F,X,20,11.36,1
490,5,9103,9601,0.09,1,F,0,15,11.5,0
491,0,9402,9512,0.09,1,F,0,15,11.66,0
492,5,9502,9512,0.29,4,D,X,4,3.42,0
493,0,9201,9504,0.07,1,G,0,35,23.75,0
494,4,9602,9602,0.07,1,G,0,25,25,0
495,0,8610,9512,0.14,2,F,X,12,11.5,0
496,1,9506,9601,0.16,4,E,X,5,6.25,0
497,0,9301,9508,0.2,1,G,X,40,13.77,0
498,0,9004,9602,0.17,2,G,X,26,18.54,0
499,7,8608,9512,0.19,4,G,X,50,20.53,0
500,2,8704,9512,0.19,2,E,X,14,10.55,0
501,5,9409,9601,0.25,4,E,X,9,7.57,0
502,4,9109,9603,0.27,4,F,X,16,13.58,0
503,3,8703,9511,0.19,1,F,X,17,9.93,0
504,4,8802,9511,0.11,1,F,0,17,13.5,0
505,5,9402,9506,0.12,1,F,0,20,11.5,0
