income,firstDate,lastDate,amount,freqSales,saleSizeCode,starCustomer,lastSale,avrSale,class
5,9401,9511,0.23,3,F,X,14,13.75,0
5,9101,9601,0.15,1,F,0,15,10.25,0
4,9102,9601,0.08,1,G,0,75,28.00,0
5,9410,9504,0.09,1,F,0,20,17.50,0
1,8803,9510,0.21,2,E,X,14,10.41,0
4,9509,9601,0.10,2,F,0,20,12.50,0
0,9101,9512,0.12,1,F,0,15,8.33,0
7,9012,9511,0.07,1,G,0,25,38.33,0
4,9102,9509,0.24,2,E,X,10,6.25,0
2,8704,9603,0.15,3,F,X,16,12.23,0
2,9411,9603,0.17,3,F,X,15,11.00,0
5,9302,9512,0.08,1,F,0,22,19.00,0
2,9101,9510,0.15,2,F,0,14,12.00,0
7,9506,9506,0.05,1,G,0,25,25.00,0
5,8803,9511,0.23,1,G,X,25,16.94,0
5,9601,9601,0.07,1,F,0,15,15.00,0
3,9009,9602,0.19,3,F,X,12,10.58,0
0,9210,9509,0.22,3,E,X,11,11.00,0
2,8608,9611,0.29,1,E,X,12,7.96,0
2,9410,9510,0.18,3,E,0,6,6.40,0
2,9401,9512,0.26,4,E,X,10,9.60,0
0,9409,9512,0.07,1,G,0,25,17.50,0
4,8608,9508,0.26,2,F,0,20,10.60,1
3,8701,9602,0.21,3,E,X,11,7.00,0
2,9501,9508,0.09,1,F,0,20,15.00,0
4,9311,9601,0.09,1,G,0,25,13.66,0
5,9102,9601,0.19,2,G,X,20,11.66,0
6,9502,9508,0.08,1,G,0,25,25.00,0
3,8809,9602,0.27,3,E,0,10,6.69,0
5,8612,9512,0.39,3,D,X,5,3.64,0
4,9009,9603,0.21,2,G,X,25,18.50,0
2,9507,9512,0.11,2,F,0,20,20.00,0
5,8706,9506,0.17,1,F,X,15,8.18,0
5,9601,9601,0.07,1,F,0,20,20.00,0
0,8809,9511,0.33,1,F,X,17,13.42,0
3,8809,9512,0.19,2,E,X,10,8.38,0
4,9601,9601,0.07,1,F,0,15,15.00,0
7,8803,9511,0.24,4,D,X,5,4.88,0
2,8611,9511,0.29,1,E,X,10,7.47,0
3,8812,9512,0.27,1,E,X,10,3.70,0
0,8708,9506,0.22,1,E,X,10,11.23,0
0,8911,9506,0.27,1,E,X,12,10.58,0
4,9109,9503,0.08,1,F,0,15,14.25,0
0,8608,9512,0.15,1,G,X,25,15.56,0
3,8702,9512,0.21,2,E,X,10,7.75,0
2,8608,9504,0.27,1,E,X,10,5.50,0
3,9401,9603,0.14,2,F,0,15,9.00,0
4,9401,9511,0.25,3,E,0,12,8.14,0
4,9310,9512,0.10,1,F,0,20,12.00,0
4,8611,9702,0.35,1,E,X,15,8.29,0
5,8608,9602,0.52,4,E,X,5,7.12,0
4,9412,9508,0.13,2,F,0,20,18.33,0
5,9109,9508,0.19,1,F,X,15,11.40,0
6,8608,9512,0.31,3,D,X,5,2.88,0
5,9010,9601,0.34,3,D,X,6,5.50,0
0,9001,9512,0.11,1,F,0,20,12.16,0
2,9102,9506,0.06,1,F,0,15,16.66,0
4,9103,9504,0.08,1,F,0,15,10.00,0
1,9109,9504,0.08,1,G,0,25,12.50,0
7,9109,9511,0.07,1,G,0,65,50.00,0
2,9011,9507,0.11,1,F,X,16,13.50,0
2,8912,9512,0.10,1,F,0,19,16.66,0
0,8702,9504,0.18,1,F,X,20,8.84,0
4,9309,9603,0.17,3,F,0,24,17.57,0
2,9102,9601,0.13,1,F,X,17,10.71,0
7,9602,9602,0.06,1,F,0,20,20.00,0
6,9501,9603,0.08,1,G,0,25,22.50,0
4,8807,9512,0.13,1,F,X,19,13.60,0
3,8612,9511,0.09,2,G,0,250,58.85,0
0,9211,9511,0.28,3,E,X,5,7.38,0
6,9510,9602,0.07,1,G,0,25,17.50,1
0,8804,9507,0.23,2,E,X,10,20.66,0
5,8712,9601,0.12,1,G,0,50,41.00,0
7,9401,9509,0.15,1,F,0,20,8.80,0
0,9410,9504,0.11,1,F,0,22,17.33,0
7,9402,9601,0.16,1,F,X,15,7.50,0
3,8909,9611,0.13,2,E,X,10,10.66,0
3,9101,9509,0.23,2,E,X,10,7.46,0
3,8610,9601,0.39,4,E,X,11,9.02,0
0,9506,9506,0.05,1,G,0,25,25.00,1
3,9410,9510,0.16,3,E,0,10,5.50,0
5,9210,9603,0.16,3,G,0,30,33.12,0
2,8612,9509,0.25,2,E,X,8,4.88,0
5,9601,9601,0.07,1,F,0,15,15.00,0
5,9309,9601,0.09,1,F,0,15,11.66,0
5,9110,9512,0.08,1,F,0,15,20.00,0
7,8910,9512,0.10,1,F,0,15,12.50,0
4,9102,9508,0.08,1,G,0,25,18.75,0
1,9506,9701,0.22,4,E,X,10,6.66,0
6,9206,9601,0.10,1,F,0,20,19.75,0
0,8909,9512,0.26,1,E,X,10,8.35,0
5,9601,9603,0.12,3,E,0,10,7.50,0
5,9601,9601,0.07,1,G,0,25,25.00,0
3,9602,9602,0.07,1,G,0,50,50.00,0
1,9502,9511,0.19,4,E,X,7,7.80,0
1,8608,9512,0.27,2,G,X,30,8.20,0
2,9411,9508,0.08,1,F,0,15,15.00,0
5,9011,9511,0.08,2,F,0,17,14.50,0
0,9501,9509,0.14,2,F,0,14,14.25,0
5,9302,9602,0.09,1,G,X,25,20.28,0
0,9101,9602,0.38,4,D,X,5,4.63,0
6,9001,9512,0.13,1,G,X,27,11.14,0
2,8805,9504,0.19,1,E,X,12,11.30,0
6,9502,9512,0.09,1,F,0,15,12.50,0
4,9509,9509,0.07,1,F,0,15,15.00,0
3,9301,9511,0.14,2,G,0,30,15.83,0
2,8902,9511,0.14,2,F,0,15,6.87,0
4,9410,9512,0.14,3,E,0,10,8.50,0
4,8912,9603,0.36,4,D,X,6,5.66,0
7,8701,9601,0.22,3,F,X,10,7.66,0
7,9512,9512,0.08,1,F,0,20,20.00,0
0,9410,9601,0.26,4,E,X,9,8.62,0
3,9310,9602,0.14,1,F,0,20,11.66,0
5,9101,9506,0.15,1,G,X,30,18.77,0
6,8809,9512,0.27,2,E,X,10,11.50,0
1,8608,9603,0.34,3,D,X,5,3.16,0
6,9506,9506,0.05,1,G,0,25,25.00,0
7,9103,9505,0.10,2,G,0,25,31.66,0
1,9510,9602,0.17,3,E,0,10,6.66,0
2,8609,9512,0.65,4,E,X,12,7.75,0
3,9201,9512,0.20,3,E,X,12,6.70,0
5,9501,9601,0.13,1,F,0,20,12.33,0
0,8810,9509,0.17,1,F,X,20,11.08,0
0,9112,9603,0.25,4,E,X,8,6.92,0
1,8608,9506,0.27,1,E,X,12,5.45,0
0,9412,9511,0.12,2,F,0,20,16.66,0
1,8909,9604,0.14,1,F,X,0,8.07,0
7,8809,9508,0.20,1,E,X,14,8.07,0
0,9402,9603,0.36,4,D,X,3,4.25,0
3,9501,9507,0.07,1,G,0,25,22.50,0
2,9407,9601,0.22,4,D,X,5,6.00,0
4,8704,9512,0.22,2,E,X,10,9.25,0
3,9501,9510,0.09,1,F,0,20,17.50,0
0,9301,9601,0.10,1,G,0,25,11.75,0
0,9602,9602,0.06,1,F,0,20,20.00,0
0,8610,9510,0.23,1,F,X,19,9.00,0
0,9201,9601,0.25,3,E,X,10,5.27,0
4,8702,9512,0.23,2,F,X,14,8.94,0
2,9111,9512,0.29,1,F,0,15,7.40,0
1,8910,9603,0.14,3,E,0,10,6.00,0
0,8902,9601,0.13,1,G,0,35,31.66,0
0,9103,9512,0.25,1,G,0,50,21.42,0
7,8909,9509,0.12,1,G,0,25,19.30,0
0,9203,9602,0.25,4,F,X,13,9.21,0
5,9302,9603,0.18,3,F,X,10,11.62,0
5,8701,9504,0.12,1,F,0,16,10.85,0
2,8910,9603,0.19,3,E,0,10,9.20,0
0,9004,9601,0.23,3,D,X,7,5.00,0
0,8701,9505,0.22,1,G,X,25,12.29,0
6,8809,9512,0.15,1,G,0,25,17.08,0
4,8909,9509,0.30,3,D,X,9,5.00,0
2,9401,9603,0.15,2,F,0,15,10.60,0
0,9312,9510,0.11,1,G,0,25,18.75,0
5,8702,9505,0.23,1,F,X,15,9.52,1
3,8701,9511,0.42,1,E,X,11,6.00,0
2,8612,9512,0.22,1,F,X,20,10.50,0
6,8608,9508,0.23,1,E,X,10,5.64,0
5,9601,9601,0.07,1,F,0,20,20.00,0
0,9510,9603,0.11,2,F,0,15,14.00,0
3,9309,9602,0.37,4,D,X,6,5.62,0
3,9506,9512,0.12,3,G,0,15,21.66,0
6,9304,9603,0.13,1,G,X,25,24.16,0
3,9210,9507,0.36,4,D,X,3,3.68,0
6,9002,9604,0.14,2,G,X,25,18.53,0
2,9411,9511,0.12,2,G,0,12,15.66,0
5,9409,9512,0.08,1,F,0,15,12.50,0
0,9202,9511,0.22,2,E,X,12,7.83,0
5,9511,9511,0.08,1,F,0,20,20.00,0
2,9602,9602,0.07,1,F,0,15,15.00,0
0,9510,9510,0.06,1,F,0,23,23.00,0
0,9406,9504,0.12,1,G,0,25,17.50,0
2,9412,9512,0.09,1,G,0,25,22.50,0
0,9401,9602,0.14,3,E,0,6,8.80,0
5,9202,9512,0.12,1,G,0,50,21.71,0
3,8909,9512,0.11,1,G,0,50,23.28,0
7,9310,9601,0.17,3,F,X,15,11.33,0
0,9103,9510,0.11,2,F,0,20,12.50,0
1,8812,9507,0.09,1,F,0,20,11.16,0
5,9009,9510,0.23,2,E,X,6,6.92,0
3,9601,9601,0.07,1,F,0,20,20.00,0
6,9502,9511,0.23,2,F,0,15,9.00,0
2,9602,9603,0.14,2,F,0,6,13.00,0
6,8702,9510,0.19,2,G,X,25,17.73,0
4,9509,9509,0.06,1,F,0,20,20.00,0
2,9107,9509,0.15,2,G,0,23,18.44,0
4,9501,9602,0.32,4,D,X,4,4.44,0
3,9109,9602,0.12,1,G,0,25,12.50,0
7,8702,9512,0.13,1,G,X,25,12.70,0
6,9409,9509,0.07,1,F,0,20,15.00,0
0,9401,9601,0.14,3,F,0,16,10.60,0
1,8809,9601,0.13,1,F,0,15,10.33,0
2,9601,9603,0.14,2,F,0,6,10.50,0
3,8707,9512,0.14,1,F,X,15,9.44,0
4,9202,9602,0.15,3,E,0,10,8.00,0
7,9210,9511,0.11,1,F,0,20,12.80,0
0,8609,9507,0.23,1,G,X,25,19.10,0
2,9402,9602,0.12,1,F,0,15,9.25,0
1,9506,9511,0.11,2,F,0,5,12.50,0
4,8802,9512,0.13,2,G,X,50,18.90,0
6,8704,9601,0.17,3,F,X,20,12.91,0
0,9502,9603,0.14,3,E,X,10,10.00,0
1,9401,9603,0.18,3,E,X,14,11.33,0
7,8803,9602,0.37,3,D,X,9,5.96,0
1,9310,9504,0.17,1,F,X,20,6.66,0
5,8611,9602,0.46,4,E,X,12,11.23,0
3,9310,9512,0.08,1,F,0,20,11.33,0
5,8905,9602,0.15,1,F,X,18,12.61,0
2,9410,9511,0.14,2,G,0,35,15.75,0
0,9410,9512,0.16,3,F,0,20,14.40,0
1,8703,9601,0.28,1,G,X,30,7.66,0
0,8610,9511,0.44,4,D,X,4,3.38,0
5,9212,9509,0.15,1,F,0,18,10.66,0
2,8807,9601,0.24,4,D,0,7,6.46,0
1,9102,9603,0.21,4,F,0,10,9.12,0
6,9510,9602,0.11,2,F,0,15,12.50,0
0,9510,9510,0.06,1,F,0,20,20.00,0
5,8910,9507,0.22,2,E,0,11,8.25,0
1,9601,9601,0.07,1,F,0,23,23.00,0
2,8609,9504,0.17,1,E,X,14,9.07,0
7,9301,9601,0.14,3,E,X,6,6.50,0
2,9511,9511,0.07,1,F,0,20,20.00,0
4,9309,9603,0.20,3,E,0,10,8.00,0
2,9409,9510,0.08,1,F,0,20,15.00,0
7,9203,9603,0.15,1,F,0,15,10.36,0
2,8809,9508,0.12,1,F,0,17,13.50,0
7,9103,9508,0.20,4,G,0,19,15.72,0
3,9202,9508,0.10,2,F,0,15,14.60,0
1,8809,9508,0.13,2,F,0,15,10.25,0
4,9309,9512,0.15,1,G,0,32,16.33,0
2,8805,9506,0.28,1,E,X,10,6.93,0
2,8612,9506,0.31,1,G,X,35,23.87,0
0,9001,9702,0.43,4,F,X,20,16.03,0
3,9209,9512,0.19,2,F,X,12,10.22,0
6,9403,9512,0.14,2,F,X,15,11.80,0
5,9204,9508,0.09,1,F,0,20,10.66,0
2,9506,9601,0.27,4,D,X,5,6.00,0
3,8612,9510,0.17,2,F,X,15,9.84,0
5,8608,9509,0.18,1,E,X,10,7.23,0
7,9511,9511,0.06,1,F,0,15,15.00,0
0,9502,9601,0.20,4,E,X,5,6.00,0
3,8712,9506,0.28,2,E,X,10,8.90,0
3,9002,9512,0.20,3,D,X,9,7.23,1
1,9506,9512,0.13,3,F,0,15,15.66,0
5,9310,9601,0.22,4,E,X,10,6.66,0
6,9108,9512,0.20,1,G,X,30,12.54,0
3,9501,9510,0.08,1,F,0,20,12.50,0
4,8801,9603,0.12,1,G,X,30,47.77,0
7,9411,9511,0.08,1,G,0,25,25.00,0
0,8801,9511,0.39,2,E,X,7,7.02,0
0,9309,9505,0.10,1,F,0,20,16.25,0
6,8801,9602,0.13,3,E,X,10,6.88,0
1,8809,9701,0.18,2,F,0,10,8.55,0
5,9302,9506,0.09,1,F,0,15,15.50,0
3,9002,9601,0.19,3,F,X,18,13.75,1
1,9310,9504,0.16,1,F,X,15,11.66,0
1,8902,9507,0.08,1,F,0,21,12.20,0
5,9509,9601,0.10,2,F,0,20,12.50,0
3,9602,9602,0.07,1,F,0,20,20.00,0
5,9602,9602,0.07,1,G,0,28,28.00,0
1,8705,9602,0.32,3,G,0,25,18.05,0
0,9211,9602,0.24,3,F,X,15,15.83,1
0,9209,9512,0.23,1,E,X,10,9.00,0
4,9502,9507,0.09,1,F,0,18,15.50,0
3,9309,9512,0.20,3,E,X,12,9.18,0
2,9012,9512,0.18,2,E,X,11,9.08,0
2,9010,9511,0.17,2,F,0,15,10.20,0
5,9003,9512,0.20,3,E,X,5,7.25,0
0,9302,9504,0.08,1,G,0,25,21.66,0
5,9010,9603,0.12,1,G,0,30,20.83,0
0,9104,9511,0.09,1,F,0,20,15.00,0
5,9203,9512,0.12,2,F,0,20,14.20,0
2,9011,9601,0.45,4,D,X,5,3.60,0
4,9602,9602,0.07,1,G,0,25,25.00,0
1,9501,9512,0.09,1,F,0,20,17.50,0
7,9309,9506,0.15,1,F,X,15,9.00,0
2,9401,9601,0.29,4,D,X,6,5.60,0
4,9603,9603,0.10,1,F,0,20,20.00,0
2,9210,9602,0.10,1,F,0,10,8.85,0
1,9403,9601,0.19,3,F,X,10,10.00,1
1,9101,9602,0.18,3,F,X,15,15.27,0
3,8609,9603,0.25,2,E,X,11,6.66,0
0,9302,9602,0.12,2,F,0,15,11.20,0
6,9302,9512,0.11,2,G,0,40,19.00,0
6,9509,9601,0.13,3,G,0,12,18.33,0
2,9009,9506,0.20,1,F,0,16,10.55,0
6,9602,9602,0.07,1,F,0,20,20.00,0
5,9412,9506,0.13,2,F,0,15,15.00,0
7,9310,9601,0.25,3,E,X,6,7.10,0
7,8909,9511,0.09,2,G,0,35,32.50,0
7,9506,9506,0.06,1,F,0,20,20.00,0
0,9601,9601,0.07,1,G,0,28,28.00,0
5,9009,9503,0.10,1,G,0,25,23.00,0
4,8702,9512,0.18,2,E,X,6,9.25,0
5,9511,9511,0.08,1,F,0,15,15.00,0
2,9301,9601,0.15,2,F,0,15,12.28,0
0,9505,9602,0.15,3,E,0,10,7.33,0
0,9301,9512,0.38,4,E,X,10,7.14,0
1,9602,9602,0.07,1,F,0,20,20.00,0
0,8701,9601,0.18,2,G,X,50,15.86,0
4,9310,9510,0.20,3,E,0,9,7.00,0
7,9602,9602,0.07,1,G,0,50,50.00,0
6,9510,9510,0.06,1,G,0,25,25.00,0
1,9002,9512,0.25,4,D,X,5,5.60,0
0,9311,9504,0.18,1,F,X,20,17.14,0
3,8609,9604,0.33,4,D,X,5,5.02,0
4,9401,9512,0.14,3,G,0,25,17.60,0
4,8803,9601,0.33,3,D,X,7,6.00,0
2,9511,9511,0.08,1,G,0,25,25.00,0
3,9109,9511,0.10,1,G,0,25,11.80,0
1,8701,9601,0.30,2,E,X,10,4.88,0
2,9002,9602,0.22,2,E,X,5,7.71,0
0,9502,9512,0.09,1,F,0,15,12.50,0
0,9003,9701,0.13,1,G,X,30,24.44,0
7,8608,9602,0.33,2,F,X,15,6.96,0
5,9006,9505,0.10,1,G,0,40,30.83,0
0,9507,9603,0.10,2,F,0,20,15.00,0
0,8909,9512,0.22,2,F,X,20,16.45,0
7,8801,9601,0.19,3,E,X,12,9.15,0
7,8707,9602,0.12,2,F,0,20,15.50,0
5,9103,9603,0.17,2,F,X,20,8.77,0
3,8801,9512,0.15,1,F,X,15,8.60,0
5,9201,9512,0.10,1,F,0,20,15.00,0
5,9603,9603,0.10,1,F,0,20,20.00,0
1,9101,9512,0.21,1,F,0,17,11.23,0
7,9409,9504,0.08,1,F,0,20,12.50,0
4,9001,9512,0.31,2,F,0,20,17.71,0
7,8610,9602,0.14,1,G,X,30,14.81,0
2,8804,9504,0.15,1,F,0,18,11.72,1
1,9008,9609,0.18,4,F,X,20,16.62,0
6,9501,9511,0.09,1,F,0,22,16.00,0
1,9002,9601,0.26,2,F,X,20,10.30,0
1,8801,9511,0.30,1,F,X,7,7.28,0
0,9501,9504,0.09,1,F,0,20,16.50,0
4,9602,9602,0.07,1,F,0,20,20.00,0
0,8610,9601,0.24,3,E,X,7,5.16,0
5,9401,9512,0.16,3,E,0,10,8.00,0
0,9502,9511,0.10,1,F,0,20,12.50,0
3,9402,9512,0.08,1,G,0,25,25.00,0
0,9603,9605,0.07,1,G,0,0,50.00,0
2,8901,9512,0.42,2,E,X,14,13.50,0
6,9301,9511,0.18,2,G,0,25,17.12,0
2,8702,9601,0.20,2,E,X,5,8.61,0
0,9402,9601,0.23,1,G,0,25,20.00,0
5,8705,9603,0.20,2,E,X,10,8.00,0
2,9409,9509,0.10,2,G,0,12,15.66,0
4,9310,9601,0.33,4,E,X,11,8.50,0
3,8608,9701,0.50,2,E,X,5,6.09,0
7,9111,9506,0.11,1,F,X,18,16.50,0
4,9506,9506,0.06,1,F,0,15,15.00,0
0,9010,9601,0.18,4,F,X,20,13.00,0
2,8610,9603,0.35,4,F,X,15,8.55,0
5,8810,9512,0.33,4,D,X,3,4.28,0
2,8902,9602,0.20,2,F,X,16,7.66,1
2,9410,9601,0.11,2,G,0,10,15.00,0
1,9301,9601,0.21,3,E,X,10,5.25,1
0,9509,9509,0.05,1,G,0,50,50.00,0
0,9510,9510,0.07,1,F,0,20,20.00,0
5,9510,9510,0.06,1,G,0,25,25.00,0
0,8905,9512,0.17,1,F,X,22,7.50,0
3,9201,9604,0.12,1,G,0,25,13.57,0
0,9309,9512,0.50,3,E,X,10,8.55,0
4,9502,9602,0.13,2,F,X,15,11.66,0
0,8801,9509,0.24,1,F,X,17,11.94,0
0,8910,9512,0.15,1,F,0,15,14.60,0
0,9404,9507,0.09,1,G,0,25,13.66,0
0,9103,9509,0.16,1,F,0,15,9.50,0
2,9509,9602,0.15,3,E,0,14,10.00,0
6,9412,9601,0.09,1,F,0,17,16.00,0
2,9310,9603,0.27,4,D,X,6,5.54,0
5,9409,9511,0.13,2,F,0,13,13.25,0
6,9001,9509,0.07,1,G,0,30,18.50,0
4,9502,9512,0.13,2,F,0,16,10.66,0
0,9601,9601,0.08,1,F,0,20,20.00,0
5,9506,9506,0.06,1,F,0,15,15.00,0
5,9501,9602,0.08,1,F,0,16,13.00,0
2,8703,9602,0.25,2,E,X,10,5.68,0
5,9201,9601,0.10,1,G,X,25,12.00,0
1,9601,9612,0.10,1,F,0,10,16.66,0
6,8702,9509,0.34,1,G,X,50,27.91,0
7,9005,9504,0.16,1,F,X,20,10.00,0
5,8811,9507,0.17,2,E,X,10,10.09,0
1,8803,9512,0.30,3,F,X,10,11.26,0
5,8809,9506,0.40,2,G,X,25,12.18,0
0,9501,9511,0.12,2,F,0,20,10.66,0
1,8608,9602,0.40,3,D,X,5,5.38,0
7,9104,9506,0.07,1,F,0,15,15.66,0
4,8612,9504,0.43,1,E,X,10,5.90,0
1,9112,9602,0.32,3,D,X,7,6.83,0
4,9310,9507,0.11,1,F,0,16,9.66,0
6,9601,9601,0.08,1,F,0,20,20.00,0
4,8809,9701,0.17,2,E,0,10,12.83,0
2,9502,9512,0.09,1,F,0,15,10.00,0
5,8809,9611,0.17,3,F,X,11,16.29,0
6,9005,9511,0.24,3,G,X,15,18.66,0
5,9004,9601,0.14,2,G,0,25,15.42,0
4,8610,9510,0.30,1,F,X,17,9.22,0
3,8710,9508,0.20,1,E,X,10,11.07,0
4,9602,9602,0.07,1,G,0,25,25.00,0
4,9110,9509,0.38,4,D,X,8,6.28,0
6,9203,9512,0.10,1,F,0,15,18.66,0
0,9001,9506,0.18,1,F,X,21,12.45,0
0,9009,9601,0.51,4,D,X,4,4.11,0
5,9210,9601,0.22,4,E,X,12,8.90,0
2,9103,9603,0.23,2,E,X,10,5.83,0
6,9012,9602,0.10,1,G,0,42,11.30,0
0,8811,9506,0.09,1,G,X,25,31.85,0
0,9401,9601,0.11,1,G,X,25,21.00,0
2,9512,9512,0.07,1,G,0,50,50.00,0
5,9201,9510,0.13,1,F,X,15,8.66,0
6,9310,9603,0.13,2,F,X,17,13.80,0
1,9411,9511,0.12,2,F,0,20,13.33,0
4,9201,9602,0.16,4,F,0,14,12.62,0
0,9501,9702,0.22,3,E,0,0,7.22,0
4,9002,9508,0.24,2,E,X,10,8.85,0
1,8609,9506,0.14,1,F,0,15,8.12,0
4,8812,9603,0.28,3,D,X,5,3.31,0
0,9204,9511,0.28,3,E,X,4,7.53,0
6,9309,9601,0.18,2,F,X,20,7.42,0
2,9503,9512,0.20,4,E,X,5,6.00,0
4,9401,9512,0.14,3,F,0,12,11.80,0
5,8906,9512,0.12,1,G,0,40,19.62,0
0,9202,9603,0.22,4,E,X,14,12.33,0
2,9301,9512,0.18,3,E,X,8,6.75,1
2,9501,9612,0.27,4,E,X,6,6.93,1
0,8812,9511,0.26,4,E,0,10,9.66,0
3,8703,9507,0.17,1,F,X,20,11.36,1
5,9103,9601,0.09,1,F,0,15,11.50,0
0,9402,9512,0.09,1,F,0,15,11.66,0
5,9502,9512,0.29,4,D,X,4,3.42,0
0,9201,9504,0.07,1,G,0,35,23.75,0
4,9602,9602,0.07,1,G,0,25,25.00,0
0,8610,9512,0.14,2,F,X,12,11.50,0
1,9506,9601,0.16,4,E,X,5,6.25,0
0,9301,9508,0.20,1,G,X,40,13.77,0
0,9004,9602,0.17,2,G,X,26,18.54,0
7,8608,9512,0.19,4,G,X,50,20.53,0
2,8704,9512,0.19,2,E,X,14,10.55,0
5,9409,9601,0.25,4,E,X,9,7.57,0
4,9109,9603,0.27,4,F,X,16,13.58,0
3,8703,9511,0.19,1,F,X,17,9.93,0
4,8802,9511,0.11,1,F,0,17,13.50,0
5,9402,9506,0.12,1,F,0,20,11.50,0
3,9101,9602,0.18,3,F,0,15,12.13,0
0,8909,9603,0.16,2,F,X,19,15.36,0
0,8912,9509,0.17,1,F,X,18,11.80,0
5,8809,9511,0.26,2,E,X,12,8.20,0
1,8612,9510,0.22,1,F,X,16,8.29,0
1,9109,9602,0.26,4,E,X,13,7.56,0
2,9602,9602,0.06,1,F,0,20,20.00,0
1,8608,9603,0.33,2,E,X,10,10.61,0
6,9507,9602,0.18,3,E,0,14,11.33,0
2,9302,9512,0.22,4,D,0,7,5.12,0
1,8612,9507,0.31,3,D,X,9,7.13,0
6,9411,9601,0.14,3,F,0,13,12.50,0
2,9001,9509,0.14,1,F,X,15,11.66,0
5,9010,9603,0.23,2,E,X,10,8.28,0
3,9001,9511,0.21,1,E,X,12,8.61,0
0,9311,9601,0.09,1,F,0,16,12.66,0
0,9412,9701,0.17,4,F,X,15,12.22,0
2,9501,9508,0.13,2,F,0,21,17.00,0
7,9401,9511,0.11,1,F,0,20,14.00,0
4,9502,9511,0.12,2,F,0,20,15.33,0
6,9310,9508,0.10,1,G,0,26,25.75,1
1,9510,9510,0.06,1,G,0,25,25.00,0
3,8704,9701,0.16,2,G,X,25,14.61,0
2,8911,9603,0.30,3,E,X,5,6.85,0
4,9309,9512,0.18,3,F,X,15,11.14,0
1,9412,9603,0.24,4,E,X,10,9.16,0
4,8810,9510,0.20,2,E,0,10,11.50,0
4,8801,9504,0.24,1,F,X,17,11.66,1
7,9202,9602,0.10,2,F,0,15,10.75,0
